taker_address,n_copy_trades,n_wins,hit_rate,pnl_total,pnl_mean
0x0e3f215e164156523b55bf8043ab4bc43bc48e8d,87,52,0.5977011494252874,833.8289605766092,9.584240926167922
0xdb976ec8f75771f7af08d13546fe3d000867eee8,6,5,0.8333333333333334,811.965464835971,135.32757747266183
0x56c6ca374a5bb52af0f3122ca48f2885bedef706,1312,733,0.5586890243902439,754.0700587957898,0.5747485204236202
0x22d04f62e0540e4c943458e74e95030a5fb16293,348,167,0.47988505747126436,694.0365903607719,1.9943580182780802
0x5e10bea5b234d7d8f992c6044986c23da35570f4,10994,6191,0.5631253410951428,681.2060983175481,0.06196162436943316
0x74c319cef9c666465f3b56c1abcdfb560c358d15,693,342,0.4935064935064935,635.4780074516324,0.9169956817483873
0x161a7f666ca49d592848cf415b42f49a84714103,328,183,0.5579268292682927,633.4773912805485,1.9313335100016724
0x8cdc597d51327275463a1c518fdd1621d9b2b83f,45,43,0.9555555555555556,575.5941933917876,12.790982075373059
0x4a1b8e8d38aecdc9687bb0f601801d59fa44724f,40,34,0.85,569.6606527379677,14.241516318449191
0x178e5f04f700ff02c37f6ec53159acce06dc76f7,726,315,0.43388429752066116,556.9275487270011,0.7671178357121227
0x606d65fca4f80b75926c106d0ac8d3ce90bf1aaf,373,220,0.5898123324396782,534.9451469230128,1.4341692946997662
0xf989bd9c62b1eae2c388515fcc766527a8b147cc,152,54,0.35526315789473684,533.1969881553853,3.5078749220749033
0x82bfc7c9b901f3f82cd5d4f3e8a8bc99b420de71,21,11,0.5238095238095238,491.63222861464476,23.411058505459273
0xce0871a82a7799ace36ab2fcd08f95b21cdf510b,16,5,0.3125,483.33333333333314,30.20833333333332
0x223af16a2c4d559f7b957c2fe89e4195ac5e286f,9,5,0.5555555555555556,479.58798432067476,53.28755381340831
0x17338df30635b5dd167ebf78428775c6c7ac1e15,1925,969,0.5033766233766234,477.93300026641407,0.24827688325528002
0xefde78f38169634477f6ff46572128b6d21a6505,99,56,0.5656565656565656,418.8385758940774,4.230692685798761
0xbcd6358b674834ec8101c238ec0d52540f0c0790,6,6,1.0,408.4745762711865,68.07909604519774
0xf2c29fa94f5a18b1c68c00baee66155b89254de7,1810,741,0.4093922651933702,317.2916969863416,0.17529928010295118
0x58d7ebfaf22d4791433e929a429011db056e7cf1,21,12,0.5714285714285714,313.62979974598534,14.934752368856445
0x5caec2331059ed7bbead580c8bc56e2d1896a00a,101,57,0.5643564356435643,291.48388094003974,2.8859790192083143
0x2579f742c98ac26507b4b088439da65beae29d48,16,10,0.625,283.835941383357,17.739746336459813
0x96df69e2d757f37cc1ba1cffff0a873f9a124caa,1683,795,0.47237076648841353,267.75748533839874,0.15909535670730762
0xa38a455bbdd4b68486548b7e19da99903f4f821d,8,8,1.0,251.0188901157835,31.37736126447294
0x7e834b8c9bef2161a58c4ba065645b731bc64bd3,16,11,0.6875,236.9438563887336,14.80899102429585
0xb0e3fcbe0d7f17168fdce93f89c0168d3fa329eb,27,17,0.6296296296296297,233.12792582361726,8.634367623096935
0x67b3b3d029ce10639294202c56dbfdaf056ea375,24,18,0.75,227.160200546412,9.4650083561005
0xfe38539b14c4e9f844052c76d82e170c9d881f16,286,153,0.534965034965035,199.00765454606335,0.6958309599512704
0x3233818b43fdb708a2232fc4f0cb3e36d6e2a4dd,14,10,0.7142857142857143,194.3624077801774,13.883029127155528
0xc4c4d8b189301a3f9b12246b1f805e8633506ea5,51,25,0.49019607843137253,186.07075546718792,3.6484461856311357
0xf1a44b98c346fb68daeb910c3cb3dffc27d3819f,390,224,0.5743589743589743,158.06122562738673,0.40528519391637624
0x4466055bc9259552750707559d8bca39a48a9ad1,12,11,0.9166666666666666,133.85740594947583,11.154783829122985
0xcc05ed045a0aff63f5447cba3c7194f849e0013a,2,2,1.0,108.40046029919446,54.20023014959723
0x072cf24b0b9f75d2d824e0187be7702a96f4f037,69,43,0.6231884057971014,92.90324889341565,1.3464238970060238
0xa5aa873702c0b28480246b6b474d48cb12869134,10,5,0.5,84.28134138965126,8.428134138965126
0x9e519fe8b6ca286e377da8f46a8a6d481716a759,7,5,0.7142857142857143,78.82037281468695,11.260053259240992
0xcddbc52bddf50073dc690443272604c7ba1b0d22,190,116,0.6105263157894737,78.74330170689461,0.41443843003628744
0x82b709b376041aa1928f35d5a334ae70b9e0cc32,1,1,1.0,63.934426229508205,63.934426229508205
0x0a2448ace3edd7deb995e6f4a6e7376623b24a1f,42,21,0.5,24.463009670475515,0.5824526112017979
0x698bbfabc657d1e08b608b8ce0a58ed808b74426,494,238,0.4817813765182186,22.174334196647408,0.04488731618754536
0x19bed5f1fdfcaad7b430c26986bfa5d50ae62541,2,1,0.5,4.081633016546121,2.0408165082730605
0x8861f4dabc9350c8d326e3370985caed5fc44c2e,3,1,0.3333333333333333,-29.72972972972974,-9.909909909909913
0x3f12c761aa0e8339e02c92b690b3170ac0d23e35,9,5,0.5555555555555556,-41.8235024386296,-4.6470558265144
0x343c0855215ce813599bfed86d29aada4bc4741d,107,56,0.5233644859813084,-44.3133151369952,-0.4141431321214505
0xb267966f1f31fc7144d146781fccc401981d5f55,9,3,0.3333333333333333,-92.70757672338543,-10.300841858153937
0x673412daa79865f9f3f80be417d634da4d222e18,195,118,0.6051282051282051,-93.68207551788514,-0.4804209000917187
0x182bd8bf2f11a572c4ec686aae3a0d919adcf3d3,1,0,0.0,-100.0,-100.0
0x052cc31cb18b95c4b5272a46db247ac7094a404e,204,106,0.5196078431372549,-119.50130797681003,-0.5857907253765198
